datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
220902143151.789,2.480,-1.8771,0.9830,-1.7170,0.9825,0.0308,-0.1833,0.0142,3.7675,338.8941,0.9519
220902143151.886,2.580,-1.8758,0.9839,-1.7192,0.9829,0.0353,-0.1793,0.0232,4.4622,339.3992,1.8911
220902143151.983,2.680,-1.8764,0.9829,-1.7182,0.9837,0.0337,-0.1762,0.0155,4.1136,339.7262,1.0698
220902143152.081,2.780,-1.8767,0.9832,-1.7171,0.9831,0.0336,-0.1793,0.0174,4.1482,339.3728,1.2684
220902143152.179,2.880,-1.8770,0.9915,-1.7150,0.9852,0.0141,-0.1698,0.0173,1.9303,340.4708,1.6762
220902143152.290,2.980,-1.8745,1.0126,-1.7094,0.9864,-0.0363,-0.1604,0.0065,356.0156,341.4799,1.3997
220902143152.388,3.080,-1.8696,1.0432,-1.6974,0.9899,-0.1060,-0.0938,0.0102,347.9931,348.9312,2.3472
220902143152.485,3.180,-1.8684,1.0635,-1.6912,0.9869,-0.1587,0.0082,0.0275,341.7156,0.4533,3.1138
220902143152.582,3.280,-1.8819,1.0679,-1.6904,0.9931,-0.1129,-0.0168,0.0285,347.0953,357.6586,3.5558
220902143152.679,3.380,-1.8860,1.0689,-1.6892,0.9934,-0.1120,-0.0033,0.0251,347.1583,359.2793,2.9778
220902143152.790,3.480,-1.8828,1.0833,-1.6855,0.9876,-0.1462,0.0302,0.0494,343.0421,2.7044,5.3201
220902143152.889,3.580,-1.8844,1.0984,-1.6756,0.9758,-0.1961,0.0871,0.0426,337.0345,9.5867,3.0506
220902143152.986,3.680,-1.8854,1.1160,-1.6790,0.9588,-0.2579,0.1176,0.0194,330.0581,14.3999,358.4441
220902143153.084,3.780,-1.8963,1.1259,-1.6822,0.9511,-0.2654,0.1573,-0.0183,330.0637,20.8779,352.1593
220902143153.181,3.880,-1.9055,1.1270,-1.6900,0.9621,-0.2370,0.1290,-0.0387,333.5129,17.3314,351.2842
220902143153.280,3.980,-1.9169,1.1332,-1.6961,0.9751,-0.1963,0.0965,-0.0359,337.9184,12.6137,353.3122
220902143153.391,4.080,-1.9227,1.1480,-1.6925,0.9781,-0.1957,0.0639,-0.0322,337.7525,8.5467,354.5403
220902143153.488,4.180,-1.9331,1.1565,-1.6946,0.9872,-0.1442,0.0646,-0.0225,343.6275,8.0307,356.2351
220902143153.585,4.280,-1.9480,1.1652,-1.6985,0.9850,-0.1608,0.0535,-0.0313,341.7334,6.9898,355.2354
220902143153.682,4.380,-1.9577,1.1725,-1.6914,0.9816,-0.1717,0.0377,-0.0740,340.6349,6.0538,350.3473
220902143153.780,4.480,-1.9686,1.1739,-1.6889,0.9903,-0.1300,-0.0060,-0.0484,345.0435,0.0367,354.4005
220902143153.877,4.580,-1.9666,1.1817,-1.6784,0.9911,-0.1120,0.0445,-0.0568,347.4754,5.9290,352.7884
220902143153.989,4.680,-1.9734,1.1962,-1.6829,0.9951,-0.0712,0.0361,-0.0584,352.1019,4.6461,352.9597
220902143154.078,4.780,-1.9732,1.2073,-1.6662,0.9949,-0.0497,0.0687,-0.0537,354.7541,8.2055,353.4414
220902143154.183,4.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.283,4.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.382,5.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.482,5.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.582,5.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.684,5.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.784,5.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.882,5.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143154.982,5.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.083,5.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.177,5.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.280,5.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.381,6.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.477,6.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.580,6.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.683,6.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.781,6.480,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.881,6.580,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143155.978,6.680,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.079,6.780,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.182,6.880,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.279,6.980,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.384,7.080,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.482,7.180,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.580,7.280,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.679,7.380,-2.0000,0.0000,-2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220902143156.818,7.480,-1.9732,1.2073,-1.6662,0.9949,-0.0497,0.0687,-0.0537,354.7541,8.2055,353.4414
220902143156.930,7.580,-2.1546,1.4868,-1.4800,0.9457,0.2953,0.1355,0.0031,33.8986,18.1210,5.9463
220902143156.979,7.680,-2.1559,1.4903,-1.4807,0.9474,0.2917,0.1317,0.0067,33.4334,17.6836,6.1542
220902143157.091,7.780,-2.1588,1.4979,-1.4797,0.9514,0.2836,0.1203,-0.0046,32.7333,15.6006,4.0589
220902143157.185,7.880,-2.1624,1.5015,-1.4797,0.9505,0.2909,0.1085,-0.0095,33.7172,13.9615,3.1046
220902143157.283,7.980,-2.1646,1.5090,-1.4790,0.9542,0.2828,0.0964,-0.0175,32.8909,11.9614,1.4460
