datetime,sessionTime,ExciteOMeter
220902154532.508,0.620,0.80662
220902154532.508,1.620,0.77687
220902154532.508,2.620,0.84171
220902154532.508,3.640,0.81131
220902154532.508,4.640,0.76449
220902154532.508,5.640,0.65980
220902154532.508,6.640,0.71491
220902154532.508,7.640,0.61633
220902154532.508,8.640,0.63415
220902154532.508,9.660,0.57032
220902154532.508,10.660,0.64486
220902154532.508,11.660,0.82598
220902154532.508,12.660,0.79909
220902154532.508,13.660,0.58438
220902154532.508,14.660,0.45007
220902154532.508,15.660,0.27484
220902154532.508,16.660,0.31793
220902154532.508,17.680,0.20037
220902154532.508,18.680,0.12223
220902154532.508,19.680,0.14183
220902154532.508,20.680,0.25204
220902154532.508,21.700,0.44430
220902154532.509,22.700,0.61393
220902154532.509,23.700,0.67238
220902154532.509,24.700,0.73246
220902154532.509,25.700,0.61423
220902154532.509,26.700,0.54163
220902154532.509,27.700,0.54360
220902154532.509,28.720,0.49945
220902154532.509,29.720,0.39294
220902154532.509,30.720,0.31829
220902154532.509,31.740,0.24813
220902154532.509,32.740,0.22834
220902154532.509,33.740,0.17711
220902154532.509,34.740,0.16087
220902154532.509,35.740,0.16304
