datetime,sessionTime,RMSSD
220902161131.464,0.620,10.285
220902161131.464,1.640,10.285
220902161132.466,2.640,8.874
220902161133.466,3.640,8.856
220902161134.473,4.640,9.219
220902161135.472,5.640,9.819
220902161136.476,6.640,10.746
220902161137.479,7.640,10.715
220902161138.482,8.640,10.314
220902161139.485,9.640,9.120
220902161140.485,10.640,9.298
220902161141.490,11.640,11.172
220902161142.491,12.660,10.985
220902161143.493,13.660,10.657
220902161144.498,14.660,10.729
220902161145.509,15.660,10.096
220902161146.514,16.660,11.060
220902161147.515,17.660,10.037
220902161148.518,18.660,10.439
220902161149.521,19.680,10.450
220902161150.524,20.680,11.121
220902161151.527,21.680,12.789
220902161152.531,22.680,12.979
