datetime,sessionTime,HR
220902162604.721,0.080,72
220902162605.722,1.080,72
220902162606.724,2.080,72
220902162607.737,3.100,71
220902162608.739,4.100,71
220902162609.742,5.100,71
220902162610.744,6.100,71
220902162611.748,7.120,71
220902162612.750,8.120,72
220902162613.752,9.120,72
220902162614.753,10.120,73
220902162615.757,11.120,73
220902162616.759,12.120,73
220902162617.761,13.120,72
220902162618.764,14.140,73
220902162619.766,15.140,72
220902162620.769,16.140,71
220902162621.771,17.140,72
220902162622.772,18.140,72
220902162623.776,19.140,72
220902162624.778,20.140,72
220902162625.782,21.140,72
220902162626.783,22.140,72
220902162627.787,23.160,72
220902162628.788,24.160,72
220902162629.790,25.160,71
220902162630.794,26.160,71
220902162631.797,27.160,71
220902162632.800,28.160,71
220902162633.804,29.180,71
220902162634.806,30.180,70
220902162635.809,31.180,70
220902162636.813,32.180,70
220902162637.830,33.200,70
220902162638.830,34.200,70
