datetime,sessionTime,RRi
220902162604.721,0.080,791.939
220902162605.722,1.080,797.656
220902162606.724,2.080,800.511
220902162607.737,3.100,804.803
220902162608.739,4.100,807.976
220902162609.742,5.100,811.942
220902162610.744,6.100,807.878
220902162611.748,7.120,811.337
220902162612.750,8.120,802.019
220902162613.752,9.120,794.132
220902162614.754,10.120,780.650
220902162615.758,11.120,782.222
220902162616.759,12.120,787.749
220902162617.761,13.120,800.835
220902162618.764,14.140,785.968
220902162619.766,15.140,794.197
220902162620.769,16.140,810.950
220902162621.771,17.140,806.407
220902162622.772,18.140,797.010
220902162623.777,19.140,801.912
220902162624.778,20.140,790.508
220902162625.782,21.140,798.005
220902162626.783,22.140,799.909
220902162627.787,23.160,799.749
220902162628.788,24.160,805.662
220902162629.790,25.160,815.454
220902162630.794,26.160,825.467
220902162631.798,27.160,818.584
220902162632.800,28.160,821.587
220902162633.804,29.180,833.219
220902162634.806,30.180,840.640
220902162635.809,31.180,827.532
220902162636.813,32.180,834.508
220902162637.830,33.200,843.514
220902162638.830,34.200,833.411
